,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,id_name,extra.address,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.uid,extra.ebikes,extra.has_ebikes,extra.bike_uids,extra.number,extra.slots
4480,2,0,b403d81ba530dbb073e43550284b1d7a,41.655692,-87.537595,Public Rack - Avenue M & 132nd St,2022-10-30T00:57:55.468000Z,divvy,"13144, South Avenue M, Hegewisch, Chicago, Hyde Park Township, Cook County, Illinois, 60633, United States",1662498706.0,,,1.0,1.0,1674190179417467202,0.0,True,,,
4481,2,0,6c2cfa4ee8dc4d99e17c2d3e2dc8f476,41.691844,-87.534181,Public Rack - Avenue J & 112th St,2022-10-30T00:57:55.469000Z,divvy,"Champyon Taekwondo USA Inc., 3657, East 112th Street, East Side, Hegewisch, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",1662483036.0,,,1.0,1.0,1674190179417467200,0.0,True,,,
4482,2,0,18a54a8bff0e6c9169bc1b0b0d85b10c,41.784872,-87.647482,Public Rack - Peoria St & 60th St,2022-10-30T00:57:56.594000Z,divvy,"Nicholson School for Science and Math, South Sangamon Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60621, United States",1662486844.0,,,1.0,1.0,1674190557374589904,0.0,True,,,
4483,1,0,dd696ae6f2264fc0d91017f1e45815c0,41.705444,-87.701232,Public Rack - Kedzie & 103rd St - East,2022-10-30T00:57:55.090000Z,divvy,"10319-10323, South Kedzie Avenue, Mount Greenwood, Chicago, Lake Township, Cook County, Illinois, 60655, United States",1662484460.0,,,1.0,1.0,1674190368396028568,0.0,True,,,
4484,2,0,9adf34344a00c5dc78ac91bd768acfde,41.692883,-87.701048,Public Rack - Mt Greenwood Library - South,2022-10-30T00:57:55.797000Z,divvy,"Mount Greenwood Branch Library, 11010, South Kedzie Avenue, Mount Greenwood, Chicago, Lake Township, Cook County, Illinois, 60655, United States",1662486158.0,,,1.0,1.0,1674190514424916872,0.0,True,,,
4485,0,1,29713cac21f92231b3bf84c0b4123795,41.9206781,-87.7419523,Public Rack - Kenton Ave & Palmer St,2022-10-30T00:57:55.481000Z,divvy,"4607, West Palmer Street, Beat 2522, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",1662510352.0,,,1.0,1.0,1674190407050734272,1.0,True,,,
4486,0,2,52029e5e767f954ab464699181a1f33e,41.759439,-87.654146,Public Rack - Racine Ave & 74th St,2022-10-30T00:57:54.789000Z,divvy,"7400-7402, South Racine Avenue, West Englewood, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States",1662512054.0,,,1.0,1.0,1674190591734328322,2.0,True,,,
4487,0,2,c4e2fb24c0739d2ebc06715512541b78,41.755786,-87.654054,Public Rack - Racine Ave & 76th,2022-10-30T00:57:54.791000Z,divvy,"Dr. Martin Luther King, Jr. Family Entertainment Center, 7600, South Racine Avenue, Brainerd, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",1662512058.0,,,1.0,1.0,1674190591734328324,2.0,True,,,
4488,1,1,033f414974ae67169da5e643b94f812b,41.692738,-87.670569,Public Rack - 111th St - Morgan Park Metra,2022-10-30T00:57:54.773000Z,divvy,"111th Street–Morgan Park Metra Station, 11046, South Hale Avenue, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60643, United States",1662482481.0,,,1.0,1.0,1674190136467794156,1.0,True,,,
4489,1,0,600997f1fc920f1339be913c03252fc1,41.743367,-87.653661,Public Rack - Racine Ave & 83rd St,2022-10-30T00:57:54.792000Z,divvy,"8250-8258, South Racine Avenue, Brainerd, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",1662512063.0,,,1.0,1.0,1674190591734328326,0.0,True,,,
4490,0,1,8a17d4a63f891d673d43af9dc68df95f,41.808884,-87.67513,Public Rack - Damen Ave & 47th St,2022-10-30T00:57:54.409000Z,divvy,"Burger King, 2000, West 47th Street, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",1662483958.0,,,1.0,1.0,1674190278201715172,1.0,True,,,
4491,2,0,4c22a456c259cf821e2c876cdff9a0f4,41.748301,-87.673213,Public Rack - Damen Ave & 80th St,2022-10-30T00:57:54.410000Z,divvy,"8000, South Damen Avenue, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",1662483963.0,,,1.0,1.0,1674190278201715174,0.0,True,,,
4492,1,0,8446e86cee24241bab5a1b2573ccb75d,41.812381,-87.644633,Public Rack - Emerald Ave & 45th St,2022-10-30T00:57:54.411000Z,divvy,"Graham Elementary School Annex, 4501, South Halsted Street, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",1662484215.0,,,1.0,1.0,1674190291086617088,0.0,True,,,
4493,1,0,bdd06fea9b1e25789ac290c9925c67ae,41.75163,-87.558707,Public Rack - Marquette Ave & 79th St,2022-10-30T00:57:54.666000Z,divvy,"2701-2709, East 79th Street, Windsor Park, South Chicago, Chicago, Hyde Park Township, Cook County, Illinois, 60649, United States",1662485842.0,,,1.0,1.0,1674190471475243832,0.0,True,,,
4494,2,0,9b6f55b96f1641ea1a50a3db7b6e10e8,41.945075,-87.820037,Public Rack - Ozark Ave & Addison St,2022-10-30T00:57:54.415000Z,divvy,"7719, West Addison Street, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",1662487139.0,,,1.0,1.0,1674190544489687994,0.0,True,,,
4495,1,0,bec55627c730960ebdc24adc24d3f1a3,41.741957,-87.604839,Public Rack - Cottage Grove & 84th St,2022-10-30T00:57:54.867000Z,divvy,"Cottage Grove & 84th Street, South Cottage Grove Avenue, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",1662483781.0,,,1.0,1.0,1674190265316813260,0.0,True,,,
4496,1,0,3a96b657dc510a35250c351055446693,41.822897,-87.704154,Public Rack - Kedzie Ave & Pershing Rd,2022-10-30T00:57:54.484000Z,divvy,"3847, South Kedzie Avenue, Corwith, Brighton Park, Chicago, Cook County, Illinois, 60632, United States",1662485610.0,,,1.0,1.0,1674190398460799668,0.0,True,,,
4497,2,0,f3374e2d05e1909046ef1fba89870875,41.77924,-87.691116,Public Rack - Washtenaw Ave & 63rd St,2022-10-30T00:57:55.027000Z,divvy,"63rd Street & Washtenaw EB, West 63rd Street, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",1662513125.0,,,1.0,1.0,1674190651863870574,0.0,True,,,
4498,2,0,c656cf01b40a149f06f4caef4dc631ea,41.803822,-87.73551,Public Rack - Archer Park,2022-10-30T00:57:54.511000Z,divvy,"Archer Park Fieldhouse, 4901, South Kilbourn Avenue, Archer Heights, Chicago, Lake Township, Cook County, Illinois, 60632, United States",1662482731.0,,,1.0,1.0,1674190157942630676,0.0,True,,,
4499,2,0,1d695e13164015bc3bccbb182c9e7ff8,41.775267,-87.669156,Public Rack - William Rainey Harper High School,2022-10-30T00:57:56.091000Z,divvy,"Harper High School, South Honore Street, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",1662512920.0,,,1.0,1.0,1674190677633674406,0.0,True,,,
4500,1,0,c39b9025baec105a445ee28750b70a6f,41.738409,-87.604822,Public Rack - Cottage Grove & 86th St,2022-10-30T00:57:54.869000Z,divvy,"8601-8603, South Cottage Grove Avenue, Dauphin Park, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",1662483794.0,,,1.0,1.0,1674190265316813264,0.0,True,,,
4501,2,0,7d407c1341041f429984103779c90dc0,41.721215,-87.647435,Public Rack - Morgan St & 95th St,2022-10-30T00:57:54.358000Z,divvy,"943, West 95th Street, Washington Heights, Chicago, Lake Township, Cook County, Illinois, 60617, United States",1662486173.0,,,1.0,1.0,1674190510129949568,0.0,True,,,
4502,1,0,650036a73ab1fd913370a7c4549cf89b,41.894681,-87.768156,Public Rack - Waller Ave & Chicago Ave,2022-10-30T00:57:55.529000Z,divvy,"Chicago & Waller EB, West Chicago Avenue, Austin, Chicago, Cook County, Illinois, 60651, United States",1662513129.0,,,1.0,1.0,1674190647568903276,0.0,True,,,
4503,1,0,27f99e3135cda2ce0bee270e7cbd88ce,41.881838,-87.733661,Public Rack - Kildare Ave & Washignton Blvd,2022-10-30T00:57:54.842000Z,divvy,"4313-4319, West Washington Boulevard, Central Park, West Garfield Park, Chicago, Cook County, Illinois, 60644, United States",1662486623.0,,,1.0,1.0,1674190411345701582,0.0,True,,,
4504,3,0,18ea99791d5584d7956d3c3295933628,41.73341,-87.54454,Public Rack - Buffalo Ave & 89th St,2022-10-30T00:57:56.304000Z,divvy,"J.N. Thorp Elementary School, East 89th Street, South Chicago, Chicago, Hyde Park Township, Cook County, Illinois, 60617, United States",1662483398.0,,,1.0,1.0,1674190205187271018,0.0,True,,,
4505,1,0,bf1702b049639734eb9dd48a1e91c4df,41.927666,-87.775682,Public Rack - Austin Ave & Wrightwood Ave,2022-10-30T00:57:54.424000Z,divvy,"5958, West Wrightwood Avenue, Belmont Park, Beat 2514, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",1662498651.0,,,1.0,1.0,1674190170827532586,0.0,True,,,
